Hostname,Reverse Hostname,gWMS GRAM,gWMS HTC,BDII GRAM,BDII HTC,CE-Collector,Gratia,Assigned to Contact,Notes from Contact
cmsgrid02.hep.wisc.edu,edu.wisc.hep.cmsgrid02,,2016-04-10,,2015-12-08,2016-03-09,,,
cmsgrid03.hep.wisc.edu,edu.wisc.hep.cmsgrid03,,2016-04-10,,2015-12-08,2016-03-09,,,
osggrid01.hep.wisc.edu,edu.wisc.hep.osggrid01,,2016-04-10,,2015-12-08,2016-03-09,,,
grid42.racf.bnl.gov,gov.bnl.racf.grid42,,,,,2015-12-08,,,
gridgk02.racf.bnl.gov,gov.bnl.racf.gridgk02,,2016-04-10,,2016-03-10,,,,
gridgk03.racf.bnl.gov,gov.bnl.racf.gridgk03,,,,2016-03-10,,,,
gridgk04.racf.bnl.gov,gov.bnl.racf.gridgk04,,,,2016-03-10,,,,
gridgk06.racf.bnl.gov,gov.bnl.racf.gridgk06,,,,2016-03-10,,,,
gridgk07.racf.bnl.gov,gov.bnl.racf.gridgk07,,,,2016-03-10,,,,
gridgk08.racf.bnl.gov,gov.bnl.racf.gridgk08,,,,2016-03-10,2016-03-09,,,
gridtest01.racf.bnl.gov,gov.bnl.racf.gridtest01,,,,2016-03-10,,,,
stargw3.starp.bnl.gov,gov.bnl.starp.stargw3,,,,,2016-03-09,,,
cmsdev42.fnal.gov,gov.fnal.cmsdev42,,,,2016-03-10,2015-11-24,,,
cmslpc-ce.fnal.gov,gov.fnal.cmslpc-ce,,,,,2015-11-04,,,
cmsosgce.fnal.gov,gov.fnal.cmsosgce,,2016-04-10,,2015-12-08,2016-03-09,,,
cmsosgce2.fnal.gov,gov.fnal.cmsosgce2,,2016-04-10,,,2016-03-09,,,
cmsosgce4.fnal.gov,gov.fnal.cmsosgce4,,2016-04-10,,2015-12-08,2016-03-09,,,
cmssrv272.fnal.gov,gov.fnal.cmssrv272,,,,,2015-11-04,,,
cmssrv277.fnal.gov,gov.fnal.cmssrv277,,,,,2015-11-04,,,
fermicloud105.fnal.gov,gov.fnal.fermicloud105,,,,2016-03-10,,,,
fermicloud121.fnal.gov,gov.fnal.fermicloud121,,,,2016-03-10,,,,
fermicloud148.fnal.gov,gov.fnal.fermicloud148,,,,2015-11-18,,,,
fermicloud312.fnal.gov,gov.fnal.fermicloud312,,,,2015-11-19,,,,
gpce01.fnal.gov,gov.fnal.gpce01,,2016-04-10,,,2016-03-09,,,
gpce02.fnal.gov,gov.fnal.gpce02,,2016-04-10,,,2016-03-09,,,
pc1813.nersc.gov,gov.nersc.pc1813,,,,,2015-11-04,,,
gate03.aglt2.org,org.aglt2.gate03,,,,2016-03-10,2016-03-09,,,
gate04.aglt2.org,org.aglt2.gate04,,,,2016-03-10,2016-03-09,,,
iut2-gk.mwt2.org,org.mwt2.iut2-gk,,2016-04-10,,2016-03-10,2016-03-09,,,
osg-gk.mwt2.org,org.mwt2.osg-gk,,2016-04-10,,2016-03-10,2016-03-09,,,
uct2-gk.mwt2.org,org.mwt2.uct2-gk,,2016-04-10,,2016-03-10,2016-03-09,,,
